#options: 2580x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5070 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:95 out:94 type:P dur:2 cpbdur:2 q:35.81 aq:28.00 tex:63177 mv:31753 misc:8502 imb:1342 pmb:2415 smb:7259 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:35.78 aq:31.55 tex:8865 mv:16464 misc:5047 imb:194 pmb:1430 smb:9392 d:- ref:0 ;
in:97 out:96 type:P dur:2 cpbdur:2 q:35.61 aq:27.36 tex:67584 mv:34986 misc:8478 imb:1588 pmb:2532 smb:6896 d:- ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:35.71 aq:31.30 tex:6841 mv:15674 misc:5453 imb:199 pmb:1466 smb:9351 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:35.54 aq:27.35 tex:62244 mv:30590 misc:8606 imb:1279 pmb:2410 smb:7327 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:35.56 aq:26.70 tex:80550 mv:35403 misc:8351 imb:1750 pmb:2474 smb:6792 d:- ref:0 ;
in:101 out:100 type:P dur:2 cpbdur:2 q:35.49 aq:26.66 tex:120422 mv:44129 misc:8433 imb:1987 pmb:2996 smb:6033 d:- ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:35.52 aq:33.63 tex:12781 mv:21329 misc:5770 imb:203 pmb:1764 smb:9049 d:- ref:0 ;
in:103 out:102 type:P dur:2 cpbdur:2 q:35.45 aq:25.50 tex:173000 mv:55620 misc:8004 imb:2767 pmb:3587 smb:4662 d:- ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:35.47 aq:30.04 tex:8454 mv:19293 misc:5413 imb:124 pmb:1640 smb:9252 d:- ref:0 ;
in:105 out:104 type:P dur:2 cpbdur:2 q:35.65 aq:26.78 tex:68689 mv:18546 misc:5517 imb:400 pmb:1949 smb:8667 d:- ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:35.55 aq:30.79 tex:3825 mv:12229 misc:3818 imb:29 pmb:1270 smb:9717 d:- ref:0 ;
in:109 out:106 type:P dur:2 cpbdur:2 q:35.50 aq:25.94 tex:75598 mv:32605 misc:8989 imb:1082 pmb:2942 smb:6992 d:- ref:0 ;
in:107 out:107 type:B dur:2 cpbdur:2 q:35.57 aq:29.75 tex:5832 mv:12229 misc:4667 imb:48 pmb:1320 smb:9648 d:- ref:0 ;
in:106 out:108 type:b dur:2 cpbdur:2 q:35.61 aq:33.26 tex:1887 mv:7739 misc:3902 imb:12 pmb:1050 smb:9954 d:- ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:35.54 aq:33.58 tex:1468 mv:5118 misc:3006 imb:15 pmb:644 smb:10357 d:- ref:0 ;
in:113 out:110 type:P dur:2 cpbdur:2 q:35.19 aq:26.63 tex:34612 mv:12611 misc:6041 imb:387 pmb:1523 smb:9106 d:- ref:0 ;
in:111 out:111 type:B dur:2 cpbdur:2 q:35.34 aq:31.52 tex:12252 mv:19549 misc:5015 imb:97 pmb:1912 smb:9007 d:- ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:35.42 aq:34.06 tex:1345 mv:4673 misc:2894 imb:11 pmb:694 smb:10311 d:- ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:35.27 aq:34.94 tex:3423 mv:7782 misc:2995 imb:23 pmb:830 smb:10163 d:- ref:0 ;
in:117 out:114 type:P dur:2 cpbdur:2 q:35.02 aq:26.49 tex:75236 mv:31646 misc:7918 imb:857 pmb:2787 smb:7372 d:- ref:0 ;
in:115 out:115 type:B dur:2 cpbdur:2 q:35.10 aq:30.98 tex:10549 mv:18869 misc:5150 imb:73 pmb:1584 smb:9359 d:- ref:0 ;
in:114 out:116 type:b dur:2 cpbdur:2 q:35.15 aq:32.96 tex:3464 mv:9556 misc:3524 imb:22 pmb:925 smb:10069 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:35.06 aq:33.91 tex:3215 mv:8781 misc:3604 imb:13 pmb:939 smb:10064 d:- ref:0 ;
in:120 out:118 type:P dur:2 cpbdur:2 q:35.00 aq:26.32 tex:99979 mv:36656 misc:7893 imb:1033 pmb:3043 smb:6940 d:- ref:0 ;
in:118 out:119 type:B dur:2 cpbdur:2 q:35.01 aq:31.50 tex:8454 mv:17516 misc:4806 imb:64 pmb:1505 smb:9447 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:35.00 aq:31.23 tex:5628 mv:13579 misc:4097 imb:62 pmb:1140 smb:9814 d:- ref:0 ;
in:122 out:121 type:P dur:2 cpbdur:2 q:34.90 aq:27.19 tex:92791 mv:34401 misc:7840 imb:839 pmb:3081 smb:7096 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:34.95 aq:31.64 tex:5934 mv:15099 misc:4583 imb:75 pmb:1271 smb:9670 d:- ref:0 ;
